Domain,sentence,language,label_name,label_ID,Source,annotator_GMUID
Immigration,"The United States is often described as a nation of immigrants. With the exception of Native Americans, the vast majority of Americans are immigrants or the descendants of immigrants or enslaved people. This diversity has been celebrated for its contributions to American culture through cuisine, language, and the arts, among many other influences.",en,Cultural Identity,11,"https://www.whitehouse.gov/cea/written-materials/2021/09/17/the-economic-benefits-of-extending-permanent-legal-status-to-unauthorized-immigrants/#:~:text=Immigrants%20also%20make%20an%20important,also%20contribute%20to%20increasing%20productivity.",
Immigration,"Immigrants also make an important contribution to the U.S. economy. Most directly, immigration increases potential economic output by increasing the size of the labor force. Immigrants also contribute to increasing productivity.",en,Economic,1,"https://www.whitehouse.gov/cea/written-materials/2021/09/17/the-economic-benefits-of-extending-permanent-legal-status-to-unauthorized-immigrants/#:~:text=Immigrants%20also%20make%20an%20important,also%20contribute%20to%20increasing%20productivity.",
Immigration,"Specifically, they find that a 1 percentage point increase in the population share of immigrant college graduates increases patents per capita by 9 percent to 18 percent",en,Capacity and Resources,2,"https://www.whitehouse.gov/cea/written-materials/2021/09/17/the-economic-benefits-of-extending-permanent-legal-status-to-unauthorized-immigrants/#:~:text=Immigrants%20also%20make%20an%20important,also%20contribute%20to%20increasing%20productivity.",
Immigration,"While most immigrants residing in the United States are legally authorized to live and work here, the Department of Homeland Security (DHS) estimates the population of unauthorized immigrants to be roughly 11.4 million as of 2018.",en,"Legality, Constitutionality, Jurisdiction",5,"https://www.whitehouse.gov/cea/written-materials/2021/09/17/the-economic-benefits-of-extending-permanent-legal-status-to-unauthorized-immigrants/#:~:text=Immigrants%20also%20make%20an%20important,also%20contribute%20to%20increasing%20productivity.",
Immigration,"This blog discusses the economics of legalizing unauthorized immigrants. Some critics claim that legalizing unauthorized immigrants, as proposed by the Build Back Better framework, could be costly because they would become eligible for additional social insurance benefits such as Medicaid. However, granting permanent legal status would also likely raise tax revenues, increase productivity, and have additional benefits for the children of these immigrants, generating substantial economic value for the country.  ",en,Economic,1,"https://www.whitehouse.gov/cea/written-materials/2021/09/17/the-economic-benefits-of-extending-permanent-legal-status-to-unauthorized-immigrants/#:~:text=Immigrants%20also%20make%20an%20important,also%20contribute%20to%20increasing%20productivity.",
Immigration,"About 73 percent of unauthorized-immigrant adults ages 18 to 65 were employed in any given year from 2014 to 2019, roughly equal to the employment rates of non-citizen legal residents and U.S. citizens.[3] Permanent legal status would likely allow these workers to be more productive, generating gains that could be realized through a variety of channels.",en,Economic,1,"https://www.whitehouse.gov/cea/written-materials/2021/09/17/the-economic-benefits-of-extending-permanent-legal-status-to-unauthorized-immigrants/#:~:text=Immigrants%20also%20make%20an%20important,also%20contribute%20to%20increasing%20productivity.",
Immigration,Immigrants have made innumerable contributions to American business and society. ,en,Economic,1,"https://www.whitehouse.gov/cea/written-materials/2021/09/17/the-economic-benefits-of-extending-permanent-legal-status-to-unauthorized-immigrants/#:~:text=Immigrants%20also%20make%20an%20important,also%20contribute%20to%20increasing%20productivity.",
Immigration,"However, current law confines millions of them to a life in the shadows, without the rights to be fully economically engaged or have access to foundational social protections. ",en,Fairness and Eqality,4,"https://www.whitehouse.gov/cea/written-materials/2021/09/17/the-economic-benefits-of-extending-permanent-legal-status-to-unauthorized-immigrants/#:~:text=Immigrants%20also%20make%20an%20important,also%20contribute%20to%20increasing%20productivity.",
Immigration,"If you ask immigrants (legal or not) why they come to America, they’ll tell you that it’s to build a better life in a safer country. It’s not to vote in elections, access welfare, or sit on juries, which are the only things citizenship gets you that a green card doesn’t",en,Quality of Life,10,https://www.cato.org/publications/commentary/what-both-sides-miss-immigration-debate?gclid=Cj0KCQjwjt-oBhDKARIsABVRB0zx0iEcH2VyJMP-O2ms04YYLzbAqv2knhlXPZ4ScS0TswNU3p-TRCQaAr_QEALw_wcB,
Immigration,"And that’s what this country needs: people willing to work hard and contribute to the economy. Deport the criminals and terrorists, but welcome productive members of society.",en,Crime and Punishment,7,https://www.cato.org/publications/commentary/what-both-sides-miss-immigration-debate?gclid=Cj0KCQjwjt-oBhDKARIsABVRB0zx0iEcH2VyJMP-O2ms04YYLzbAqv2knhlXPZ4ScS0TswNU3p-TRCQaAr_QEALw_wcB,
Immigration,Democrats care more about what they see as millions of potential votes than improving the lives of the human beings who would cast them. That in turn makes Republicans suspicious of any reforms not centering on walls and guards. ,en,Political,13,https://www.cato.org/publications/commentary/what-both-sides-miss-immigration-debate?gclid=Cj0KCQjwjt-oBhDKARIsABVRB0zx0iEcH2VyJMP-O2ms04YYLzbAqv2knhlXPZ4ScS0TswNU3p-TRCQaAr_QEALw_wcB,
